Tiempo_Homicidio,Homicidio,Tiempo_Hurto,Hurtos,Tiempo_Rinas,Rinas,Date,SentimentPolarity
5/22/19,2,5/22/19,82,5/22/19,55,5/22/19,2.35
5/23/19,2,5/23/19,83,5/23/19,47,5/23/19,2.21
5/24/19,1,5/24/19,100,5/24/19,41,5/24/19,2.31
5/25/19,10,5/25/19,89,5/25/19,92,5/25/19,2.46
5/26/19,2,5/26/19,73,5/26/19,90,5/26/19,2.17
5/27/19,5,5/27/19,81,5/27/19,42,5/27/19,2.25
5/28/19,1,5/28/19,73,5/28/19,42,5/28/19,2.27
5/29/19,1,5/29/19,91,5/29/19,49,5/29/19,2.29
5/30/19,1,5/30/19,93,5/30/19,38,5/30/19,2.28
5/31/19,2,5/31/19,119,5/31/19,40,5/31/19,2.37
6/1/19,0,6/1/19,82,6/1/19,60,6/1/19,2.27
6/2/19,5,6/2/19,82,6/2/19,92,6/2/19,2.2
6/3/19,0,6/3/19,55,6/3/19,50,6/3/19,2.29
6/4/19,0,6/4/19,111,6/4/19,47,6/4/19,2.5
6/5/19,3,6/5/19,83,6/5/19,57,6/5/19,2.38
6/6/19,2,6/6/19,88,6/6/19,44,6/6/19,2.23
6/7/19,3,6/7/19,115,6/7/19,49,6/7/19,2.33
6/8/19,1,6/8/19,90,6/8/19,58,6/8/19,2.3
6/9/19,5,6/9/19,47,6/9/19,81,6/9/19,2.24
6/10/19,1,6/10/19,117,6/10/19,51,6/10/19,2.36
6/11/19,0,6/11/19,89,6/11/19,22,6/11/19,2.25
6/12/19,2,6/12/19,101,6/12/19,30,6/12/19,2.27
6/13/19,0,6/13/19,92,6/13/19,57,6/13/19,2.38
6/14/19,2,6/14/19,119,6/14/19,45,6/14/19,2.33
6/15/19,3,6/15/19,124,6/15/19,96,6/15/19,2.35
6/16/19,4,6/16/19,68,6/16/19,109,6/16/19,2.43
6/17/19,5,6/17/19,99,6/17/19,37,6/17/19,2.28
6/18/19,2,6/18/19,96,6/18/19,34,6/18/19,2.32
6/19/19,3,6/19/19,90,6/19/19,51,6/19/19,2.26
6/20/19,0,6/20/19,87,6/20/19,46,6/20/19,2.3
6/21/19,3,6/21/19,89,6/21/19,20,6/21/19,2.26
6/22/19,3,6/22/19,88,6/22/19,41,6/22/19,2.2
6/23/19,4,6/23/19,59,6/23/19,84,6/23/19,2.19
6/24/19,0,6/24/19,52,6/24/19,44,6/24/19,2.21
6/25/19,0,6/25/19,88,6/25/19,30,6/25/19,2.23
6/26/19,0,6/26/19,89,6/26/19,29,6/26/19,2.33
6/27/19,4,6/27/19,73,6/27/19,29,6/27/19,2.27
6/28/19,0,6/28/19,104,6/28/19,46,6/28/19,2.25
6/29/19,2,6/29/19,85,6/29/19,49,6/29/19,2.33
6/30/19,2,6/30/19,63,6/30/19,56,6/30/19,2.23
7/1/19,3,7/1/19,65,7/1/19,32,7/1/19,2.29
7/2/19,1,7/2/19,114,7/2/19,40,7/2/19,2.2
7/3/19,2,7/3/19,130,7/3/19,46,7/3/19,0
7/4/19,1,7/4/19,108,7/4/19,35,7/4/19,0
7/5/19,1,7/5/19,101,7/5/19,30,7/5/19,0
7/6/19,2,7/6/19,79,7/6/19,60,7/6/19,0
7/7/19,2,7/7/19,72,7/7/19,71,7/7/19,0
7/8/19,1,7/8/19,66,7/8/19,33,7/8/19,2.22
7/9/19,1,7/9/19,72,7/9/19,36,7/9/19,2.29
7/10/19,0,7/10/19,91,7/10/19,38,7/10/19,2.3
7/11/19,4,7/11/19,97,7/11/19,49,7/11/19,2.24
7/12/19,1,7/12/19,106,7/12/19,37,7/12/19,2.26
7/13/19,3,7/13/19,98,7/13/19,42,7/13/19,2.23
7/14/19,1,7/14/19,68,7/14/19,92,7/14/19,2.16
7/15/19,3,7/15/19,107,7/15/19,41,7/15/19,2.17
7/16/19,1,7/16/19,82,7/16/19,33,7/16/19,2.23
7/17/19,5,7/17/19,91,7/17/19,41,7/17/19,2.18
7/18/19,0,7/18/19,86,7/18/19,35,7/18/19,2.4
7/19/19,3,7/19/19,95,7/19/19,47,7/19/19,2.27
7/20/19,2,7/20/19,70,7/20/19,51,7/20/19,2.23
7/21/19,4,7/21/19,44,7/21/19,60,7/21/19,2.23
7/22/19,2,7/22/19,73,7/22/19,30,7/22/19,2.31
7/23/19,3,7/23/19,83,7/23/19,35,7/23/19,2.35
7/24/19,2,7/24/19,81,7/24/19,55,7/24/19,2.3
7/25/19,3,7/25/19,94,7/25/19,38,7/25/19,2.37
7/26/19,0,7/26/19,97,7/26/19,38,7/26/19,2.36
7/27/19,3,7/27/19,93,7/27/19,58,7/27/19,2.21
7/28/19,5,7/28/19,71,7/28/19,60,7/28/19,2.23
7/29/19,3,7/29/19,82,7/29/19,39,7/29/19,2.35
7/30/19,2,7/30/19,95,7/30/19,42,7/30/19,2.2
7/31/19,1,7/31/19,97,7/31/19,33,7/31/19,2.18
8/1/19,1,8/1/19,89,8/1/19,42,8/1/19,2.28
8/2/19,4,8/2/19,106,8/2/19,31,8/2/19,2.33
8/3/19,3,8/3/19,81,8/3/19,54,8/3/19,2.23
8/4/19,4,8/4/19,48,8/4/19,82,8/4/19,2.17
8/5/19,1,8/5/19,85,8/5/19,36,8/5/19,2.33
8/6/19,2,8/6/19,98,8/6/19,27,8/6/19,2.27
8/7/19,4,8/7/19,78,8/7/19,52,8/7/19,2.25
8/8/19,2,8/8/19,92,8/8/19,34,8/8/19,2.22
8/9/19,3,8/9/19,104,8/9/19,24,8/9/19,2.33
8/10/19,3,8/10/19,111,8/10/19,38,8/10/19,2.28
8/11/19,6,8/11/19,81,8/11/19,53,8/11/19,2.31
8/12/19,2,8/12/19,99,8/12/19,33,8/12/19,2.23
8/13/19,3,8/13/19,67,8/13/19,31,8/13/19,2.19
8/14/19,2,8/14/19,88,8/14/19,37,8/14/19,2.31
8/15/19,2,8/15/19,119,8/15/19,24,8/15/19,2.22
8/16/19,5,8/16/19,118,8/16/19,34,8/16/19,2.2
8/17/19,2,8/17/19,88,8/17/19,47,8/17/19,2.28
8/18/19,5,8/18/19,73,8/18/19,70,8/18/19,2.11
8/19/19,5,8/19/19,62,8/19/19,51,8/19/19,2.19
8/20/19,4,8/20/19,92,8/20/19,38,8/20/19,2.15
8/21/19,2,8/21/19,101,8/21/19,34,8/21/19,2.28
8/22/19,4,8/22/19,69,8/22/19,45,8/22/19,2.18
8/23/19,3,8/23/19,103,8/23/19,29,8/23/19,2.33
8/24/19,3,8/24/19,96,8/24/19,62,8/24/19,2.12
8/25/19,1,8/25/19,79,8/25/19,71,8/25/19,2.26
8/26/19,3,8/26/19,78,8/26/19,36,8/26/19,2.31
8/27/19,4,8/27/19,95,8/27/19,48,8/27/19,2.37
8/28/19,2,8/28/19,99,8/28/19,40,8/28/19,2.28
8/29/19,1,8/29/19,77,8/29/19,53,8/29/19,2.4
8/30/19,0,8/30/19,141,8/30/19,43,8/30/19,2.38
8/31/19,2,8/31/19,117,8/31/19,59,8/31/19,2.24
9/1/19,2,9/1/19,84,9/1/19,69,9/1/19,2.25
9/2/19,3,9/2/19,117,9/2/19,23,9/2/19,2.22
9/3/19,4,9/3/19,90,9/3/19,49,9/3/19,2.3
9/4/19,3,9/4/19,82,9/4/19,40,9/4/19,2.33
9/5/19,0,9/5/19,89,9/5/19,28,9/5/19,2.32
9/6/19,1,9/6/19,109,9/6/19,43,9/6/19,2.35
9/7/19,4,9/7/19,101,9/7/19,59,9/7/19,2.38
9/8/19,2,9/8/19,59,9/8/19,57,9/8/19,2.34
9/9/19,0,9/9/19,79,9/9/19,33,9/9/19,2.3
9/10/19,2,9/10/19,95,9/10/19,36,9/10/19,2.26
9/11/19,1,9/11/19,91,9/11/19,34,9/11/19,2.26
9/12/19,2,9/12/19,116,9/12/19,35,9/12/19,2.42
9/13/19,2,9/13/19,118,9/13/19,44,9/13/19,2.29
9/14/19,3,9/14/19,106,9/14/19,49,9/14/19,2.25
9/15/19,4,9/15/19,76,9/15/19,71,9/15/19,2.23
9/16/19,4,9/16/19,89,9/16/19,44,9/16/19,2.41
9/17/19,1,9/17/19,88,9/17/19,42,9/17/19,2.3
9/18/19,1,9/18/19,92,9/18/19,35,9/18/19,2.25
9/19/19,2,9/19/19,87,9/19/19,46,9/19/19,2.28
9/20/19,3,9/20/19,124,9/20/19,29,9/20/19,2.27
9/21/19,3,9/21/19,111,9/21/19,64,9/21/19,2.26
9/22/19,6,9/22/19,56,9/22/19,72,9/22/19,2.21
9/23/19,0,9/23/19,88,9/23/19,37,9/23/19,2.36
9/24/19,0,9/24/19,91,9/24/19,30,9/24/19,2.33
9/25/19,2,9/25/19,91,9/25/19,53,9/25/19,2.23
9/26/19,0,9/26/19,92,9/26/19,47,9/26/19,2.24
9/27/19,4,9/27/19,122,9/27/19,37,9/27/19,2.25
9/28/19,3,9/28/19,104,9/28/19,64,9/28/19,2.26
9/29/19,1,9/29/19,57,9/29/19,75,9/29/19,2.19
9/30/19,2,9/30/19,100,9/30/19,45,9/30/19,2.25
10/1/19,1,10/1/19,111,10/1/19,38,10/1/19,2.25
10/2/19,2,10/2/19,108,10/2/19,48,10/2/19,2.27
10/3/19,2,10/3/19,89,10/3/19,38,10/3/19,2.29
10/4/19,1,10/4/19,124,10/4/19,43,10/4/19,2.31
10/5/19,3,10/5/19,92,10/5/19,64,10/5/19,2.33
10/6/19,5,10/6/19,70,10/6/19,68,10/6/19,2.3
10/7/19,1,10/7/19,75,10/7/19,28,10/7/19,2.38
10/8/19,1,10/8/19,111,10/8/19,29,10/8/19,2.15
10/9/19,0,10/9/19,108,10/9/19,32,10/9/19,2.33
10/10/19,1,10/10/19,92,10/10/19,21,10/10/19,2.19
10/11/19,4,10/11/19,93,10/11/19,28,10/11/19,2.29
10/12/19,5,10/12/19,82,10/12/19,52,10/12/19,2.31
10/13/19,3,10/13/19,42,10/13/19,47,10/13/19,2.26
10/14/19,1,10/14/19,43,10/14/19,41,10/14/19,2.26
10/15/19,5,10/15/19,123,10/15/19,26,10/15/19,2.19
10/16/19,0,10/16/19,116,10/16/19,30,10/16/19,2.32
10/17/19,2,10/17/19,93,10/17/19,33,10/17/19,2.27
10/18/19,3,10/18/19,113,10/18/19,29,10/18/19,2.29
10/19/19,5,10/19/19,106,10/19/19,59,10/19/19,2.3
10/20/19,2,10/20/19,69,10/20/19,65,10/20/19,2.29
10/21/19,2,10/21/19,93,10/21/19,34,10/21/19,2.43
10/22/19,3,10/22/19,71,10/22/19,36,10/22/19,2.44
10/23/19,1,10/23/19,106,10/23/19,40,10/23/19,2.29
10/24/19,2,10/24/19,89,10/24/19,37,10/24/19,2.21
10/25/19,1,10/25/19,107,10/25/19,39,10/25/19,2.36
10/26/19,1,10/26/19,87,10/26/19,52,10/26/19,2.32
10/27/19,1,10/27/19,57,10/27/19,50,10/27/19,2.21
10/28/19,4,10/28/19,108,10/28/19,30,10/28/19,2.23
10/29/19,0,10/29/19,113,10/29/19,43,10/29/19,2.34
10/30/19,3,10/30/19,99,10/30/19,29,10/30/19,2.29
10/31/19,0,10/31/19,123,10/31/19,56,10/31/19,2.26
11/1/19,4,11/1/19,117,11/1/19,51,11/1/19,2.27
11/2/19,2,11/2/19,113,11/2/19,51,11/2/19,2.27
11/3/19,6,11/3/19,68,11/3/19,96,11/3/19,2.39
11/4/19,3,11/4/19,64,11/4/19,36,11/4/19,2.38
11/5/19,3,11/5/19,93,11/5/19,39,11/5/19,2.33
11/6/19,0,11/6/19,99,11/6/19,47,11/6/19,2.29
11/7/19,1,11/7/19,111,11/7/19,31,11/7/19,2.33
11/8/19,2,11/8/19,120,11/8/19,41,11/8/19,2.26
11/9/19,3,11/9/19,86,11/9/19,46,11/9/19,2.14
11/10/19,7,11/10/19,71,11/10/19,54,11/10/19,2.31
11/11/19,3,11/11/19,64,11/11/19,38,11/11/19,2.34
11/12/19,2,11/12/19,85,11/12/19,29,11/12/19,2.26
11/13/19,6,11/13/19,108,11/13/19,21,11/13/19,2.2
11/14/19,6,11/14/19,106,11/14/19,29,11/14/19,2.26
11/15/19,2,11/15/19,130,11/15/19,39,11/15/19,2.23
11/16/19,2,11/16/19,112,11/16/19,56,11/16/19,2.2
11/17/19,2,11/17/19,62,11/17/19,89,11/17/19,2.32
11/18/19,1,11/18/19,81,11/18/19,36,11/18/19,2.26
11/19/19,3,11/19/19,112,11/19/19,27,11/19/19,2.28
11/20/19,0,11/20/19,114,11/20/19,33,11/20/19,2.28
11/21/19,2,11/21/19,108,11/21/19,44,11/21/19,2.28
11/22/19,5,11/22/19,125,11/22/19,29,11/22/19,2.29
11/23/19,3,11/23/19,54,11/23/19,53,11/23/19,2.23
11/24/19,3,11/24/19,52,11/24/19,62,11/24/19,2.29
11/25/19,0,11/25/19,76,11/25/19,27,11/25/19,2.2
11/26/19,5,11/26/19,79,11/26/19,28,11/26/19,2.28
11/27/19,2,11/27/19,83,11/27/19,27,11/27/19,2.29
11/28/19,0,11/28/19,94,11/28/19,28,11/28/19,2.27
11/29/19,3,11/29/19,110,11/29/19,21,11/29/19,2.32
11/30/19,2,11/30/19,138,11/30/19,70,11/30/19,2.35
12/1/19,4,12/1/19,79,12/1/19,66,12/1/19,2.31
12/2/19,4,12/2/19,102,12/2/19,30,12/2/19,2.29
12/3/19,4,12/3/19,99,12/3/19,27,12/3/19,2.32
12/4/19,2,12/4/19,106,12/4/19,45,12/4/19,2.33
12/5/19,0,12/5/19,107,12/5/19,43,12/5/19,2.28
12/6/19,0,12/6/19,111,12/6/19,30,12/6/19,2.25
12/7/19,5,12/7/19,108,12/7/19,134,12/7/19,2.2
12/8/19,10,12/8/19,69,12/8/19,131,12/8/19,2.24
12/9/19,4,12/9/19,92,12/9/19,23,12/9/19,2.31
12/10/19,1,12/10/19,107,12/10/19,28,12/10/19,2.34
12/11/19,3,12/11/19,95,12/11/19,31,12/11/19,2.27
12/12/19,1,12/12/19,96,12/12/19,36,12/12/19,2.26
12/13/19,3,12/13/19,106,12/13/19,45,12/13/19,2.39
12/14/19,2,12/14/19,109,12/14/19,50,12/14/19,2.25
12/15/19,6,12/15/19,72,12/15/19,64,12/15/19,2.35
12/16/19,4,12/16/19,86,12/16/19,27,12/16/19,2.25
12/17/19,1,12/17/19,111,12/17/19,34,12/17/19,2.22
12/18/19,5,12/18/19,98,12/18/19,32,12/18/19,2.43
12/19/19,4,12/19/19,92,12/19/19,36,12/19/19,2.34
12/20/19,2,12/20/19,98,12/20/19,24,12/20/19,2.29
12/21/19,4,12/21/19,125,12/21/19,40,12/21/19,2.47
12/22/19,2,12/22/19,72,12/22/19,48,12/22/19,2.28
12/23/19,4,12/23/19,92,12/23/19,36,12/23/19,2.26
12/24/19,0,12/24/19,84,12/24/19,52,12/24/19,2.44
12/25/19,16,12/25/19,55,12/25/19,174,12/25/19,2.5
12/26/19,1,12/26/19,52,12/26/19,27,12/26/19,2.23
12/27/19,0,12/27/19,107,12/27/19,29,12/27/19,2.43
12/28/19,4,12/28/19,119,12/28/19,22,12/28/19,2.24
12/29/19,3,12/29/19,77,12/29/19,61,12/29/19,2.1
12/30/19,2,12/30/19,132,12/30/19,18,12/30/19,2.29
12/31/19,3,12/31/19,117,12/31/19,29,12/31/19,2.18
1/1/20,4,1/1/20,105,1/1/20,124,1/1/20,2.25
1/2/20,0,1/2/20,119,1/2/20,7,1/2/20,2.32
1/3/20,5,1/3/20,117,1/3/20,24,1/3/20,2.26
1/4/20,2,1/4/20,132,1/4/20,28,1/4/20,2.38
1/5/20,2,1/5/20,87,1/5/20,19,1/5/20,2.23
1/6/20,2,1/6/20,94,1/6/20,24,1/6/20,2.43
1/7/20,0,1/7/20,141,1/7/20,18,1/7/20,2.28
1/8/20,4,1/8/20,149,1/8/20,19,1/8/20,2.36
1/9/20,4,1/9/20,128,1/9/20,39,1/9/20,2.3
1/10/20,4,1/10/20,108,1/10/20,32,1/10/20,2.33
1/11/20,2,1/11/20,79,1/11/20,29,1/11/20,2.33
1/12/20,2,1/12/20,73,1/12/20,42,1/12/20,2.33
1/13/20,1,1/13/20,93,1/13/20,32,1/13/20,2.25
1/14/20,0,1/14/20,92,1/14/20,20,1/14/20,2.28
1/15/20,2,1/15/20,96,1/15/20,32,1/15/20,2.29
1/16/20,3,1/16/20,99,1/16/20,43,1/16/20,2.29
1/17/20,1,1/17/20,107,1/17/20,29,1/17/20,2.26
1/18/20,2,1/18/20,86,1/18/20,47,1/18/20,2.19
1/19/20,4,1/19/20,45,1/19/20,63,1/19/20,2.26
1/20/20,0,1/20/20,92,1/20/20,41,1/20/20,2.18
1/21/20,1,1/21/20,91,1/21/20,32,1/21/20,2.31
1/22/20,3,1/22/20,80,1/22/20,33,1/22/20,2.26
1/23/20,3,1/23/20,87,1/23/20,33,1/23/20,2.3
1/24/20,1,1/24/20,106,1/24/20,39,1/24/20,2.32
1/25/20,5,1/25/20,81,1/25/20,50,1/25/20,2.34
1/26/20,1,1/26/20,52,1/26/20,69,1/26/20,2.43
1/27/20,1,1/27/20,99,1/27/20,46,1/27/20,2.31
1/28/20,3,1/28/20,84,1/28/20,40,1/28/20,2.31
1/29/20,2,1/29/20,73,1/29/20,36,1/29/20,2.4
1/30/20,3,1/30/20,91,1/30/20,43,1/30/20,2.29
1/31/20,0,1/31/20,96,1/31/20,45,1/31/20,2.29
2/1/20,1,2/1/20,91,2/1/20,62,2/1/20,2.28
2/2/20,4,2/2/20,75,2/2/20,91,2/2/20,2.25
2/3/20,3,2/3/20,89,2/3/20,37,2/3/20,2.24
2/4/20,1,2/4/20,95,2/4/20,33,2/4/20,2.35
2/5/20,4,2/5/20,91,2/5/20,39,2/5/20,2.33
2/6/20,0,2/6/20,67,2/6/20,35,2/6/20,2.26
2/7/20,2,2/7/20,101,2/7/20,50,2/7/20,2.37
2/8/20,7,2/8/20,77,2/8/20,38,2/8/20,2.35
2/9/20,3,2/9/20,61,2/9/20,84,2/9/20,2.16
2/10/20,3,2/10/20,91,2/10/20,42,2/10/20,2.29
2/11/20,2,2/11/20,80,2/11/20,28,2/11/20,2.32
2/12/20,3,2/12/20,76,2/12/20,39,2/12/20,2.32
2/13/20,0,2/13/20,84,2/13/20,36,2/13/20,2.36
2/14/20,4,2/14/20,102,2/14/20,42,2/14/20,2.33
2/15/20,4,2/15/20,87,2/15/20,65,2/15/20,2.25
2/16/20,3,2/16/20,56,2/16/20,86,2/16/20,2.36
2/17/20,3,2/17/20,78,2/17/20,37,2/17/20,2.27
2/18/20,1,2/18/20,83,2/18/20,58,2/18/20,2.49
2/19/20,0,2/19/20,85,2/19/20,52,2/19/20,2.2
2/20/20,3,2/20/20,84,2/20/20,37,2/20/20,2
2/21/20,4,2/21/20,76,2/21/20,42,2/21/20,0
2/22/20,4,2/22/20,64,2/22/20,42,2/22/20,0
2/23/20,6,2/23/20,45,2/23/20,61,2/23/20,3
2/24/20,2,2/24/20,69,2/24/20,41,2/24/20,2
2/25/20,2,2/25/20,77,2/25/20,45,2/25/20,2
2/26/20,6,2/26/20,53,2/26/20,33,2/26/20,3
2/27/20,0,2/27/20,67,2/27/20,37,2/27/20,2
2/28/20,3,2/28/20,110,2/28/20,47,2/28/20,2.42
2/29/20,3,2/29/20,86,2/29/20,57,2/29/20,0
3/1/20,3,3/1/20,67,3/1/20,94,3/1/20,0
3/2/20,1,3/2/20,78,3/2/20,51,3/2/20,2.3
3/3/20,0,3/3/20,101,3/3/20,43,3/3/20,2.28
3/4/20,0,3/4/20,80,3/4/20,46,3/4/20,2.31
3/5/20,2,3/5/20,90,3/5/20,43,3/5/20,2.22
3/6/20,4,3/6/20,120,3/6/20,62,3/6/20,2.27
3/7/20,6,3/7/20,75,3/7/20,77,3/7/20,2.33
3/8/20,7,3/8/20,59,3/8/20,80,3/8/20,2
3/9/20,2,3/9/20,81,3/9/20,46,3/9/20,3
3/10/20,1,3/10/20,70,3/10/20,36,3/10/20,3
3/11/20,3,3/11/20,76,3/11/20,46,3/11/20,2
3/12/20,2,3/12/20,59,3/12/20,49,3/12/20,0
3/13/20,2,3/13/20,76,3/13/20,47,3/13/20,2.5
3/14/20,3,3/14/20,97,3/14/20,56,3/14/20,0
3/15/20,4,3/15/20,63,3/15/20,83,3/15/20,0
3/16/20,2,3/16/20,65,3/16/20,55,3/16/20,2.33
3/17/20,0,3/17/20,65,3/17/20,38,3/17/20,3
3/18/20,3,3/18/20,61,3/18/20,42,3/18/20,3
3/19/20,0,3/19/20,58,3/19/20,23,3/19/20,2.5
3/20/20,0,3/20/20,21,3/20/20,8,3/20/20,3
3/21/20,1,3/21/20,15,3/21/20,9,3/21/20,3
3/22/20,3,3/22/20,9,3/22/20,10,3/22/20,2
3/23/20,0,3/23/20,8,3/23/20,5,3/23/20,2
3/24/20,0,3/24/20,37,3/24/20,9,3/24/20,2
3/25/20,0,3/25/20,14,3/25/20,9,3/25/20,3
3/26/20,3,3/26/20,20,3/26/20,7,3/26/20,3
3/27/20,0,3/27/20,16,3/27/20,12,3/27/20,2.5
3/28/20,1,3/28/20,23,3/28/20,7,3/28/20,0
3/29/20,0,3/29/20,14,3/29/20,17,3/29/20,2.5
3/30/20,0,3/30/20,13,3/30/20,14,3/30/20,3
3/31/20,2,3/31/20,18,3/31/20,15,3/31/20,2
4/1/20,0,4/1/20,18,4/1/20,11,4/1/20,3
4/2/20,0,4/2/20,33,4/2/20,17,4/2/20,2
4/3/20,2,4/3/20,26,4/3/20,8,4/3/20,3
4/4/20,0,4/4/20,23,4/4/20,7,4/4/20,0
4/5/20,1,4/5/20,15,4/5/20,15,4/5/20,0
4/6/20,3,4/6/20,27,4/6/20,13,4/6/20,2
4/7/20,1,4/7/20,18,4/7/20,26,4/7/20,2
4/8/20,0,4/8/20,23,4/8/20,10,4/8/20,0
4/9/20,0,4/9/20,15,4/9/20,8,4/9/20,0
4/10/20,0,4/10/20,12,4/10/20,7,4/10/20,0
4/11/20,0,4/11/20,17,4/11/20,18,4/11/20,0
4/12/20,0,4/12/20,16,4/12/20,11,4/12/20,0
4/13/20,2,4/13/20,33,4/13/20,16,4/13/20,2
4/14/20,0,4/14/20,20,4/14/20,7,4/14/20,3
4/15/20,1,4/15/20,30,4/15/20,19,4/15/20,2
4/16/20,0,4/16/20,19,4/16/20,18,4/16/20,2
4/17/20,2,4/17/20,45,4/17/20,22,4/17/20,3
4/18/20,1,4/18/20,26,4/18/20,25,4/18/20,0
4/19/20,4,4/19/20,31,4/19/20,18,4/19/20,0
4/20/20,1,4/20/20,25,4/20/20,12,4/20/20,3
