Palabras asociadas con el miedo al delito:,,,
Hurto  + Seguridad,Hurto ,Seguridad,
Polici* + delito + Bogot*,Polici*,delito,Bogot*
Polici* + robo + Bogot*,Polici*,robo,Bogot*
Inseguridad  +  Bar,Inseguridad , Bar,
Inseguridad  +  Barrio,Inseguridad , Barrio,
Inseguridad  +  Bogota*,Inseguridad , Bogota*,
Inseguridad  +  Calle*,Inseguridad , Calle*,
Inseguridad  +  Parque*,Inseguridad , Parque*,
Inseguridad  +  SITP,Inseguridad , SITP,
Inseguridad  +  TM,Inseguridad , TM,
Inseguridad  +  Transmilenio,Inseguridad , Transmilenio,
Inseguridad  +  Transporte publico,Inseguridad , Transporte publico,
Justicia* + Bogot*,Justicia*,Bogot*,
Marcha + Bogot*,Marcha,Bogot*,
Marcha + delito*,Marcha,delito*,
Marcha + Inseguridad,Marcha,Inseguridad,
Marcha + robo*,Marcha,robo*,
Plan bici  +  Banco Mundial,Plan bici , Banco Mundial,
Plan bici  +  Biciusuario*,Plan bici , Biciusuario*,
Plan bici  +  Ciclista*,Plan bici , Ciclista*,
Plan bici  +  Fase,Plan bici , Fase,
Plan bici  +  Movilidad,Plan bici , Movilidad,
Plan bici  +  Transporte publico,Plan bici , Transporte publico,
Planton + delito,Planton,delito,
Planton + Bogot*,Planton,Bogot*,
Planton  +  Centrales obreras,Planton , Centrales obreras,
Planton  +  Empleado*,Planton , Empleado*,
Planton  +  Fiscalia,Planton , Fiscalia,
Planton  +  Periodista*,Planton , Periodista*,
Planton  +  Profesor*,Planton , Profesor*,
Planton  +  Trabajador*,Planton , Trabajador*,
Protesta* + Bogot*,Protesta*,Bogot*,
Raponeo + Bogot*,Raponeo,Bogot*,
Riña + Bogot*,Riña,Bogot*,
Riña  +  Barrio,Riña , Barrio,
Riña  +  Carcel,Riña , Carcel,
Riña  +  Conductor,Riña , Conductor,
Riña  +  Discoteca,Riña , Discoteca,
Riña  +  Fiesta,Riña , Fiesta,
Riña  +  Herido,Riña , Herido,
Riña  +  Hospital,Riña , Hospital,
Riña  +  Muerto,Riña , Muerto,
Riña  +  Policia,Riña , Policia,
Riña  +  SITP,Riña , SITP,
Riña  +  Taxista,Riña , Taxista,
Riña  +  Transmilenio,Riña , Transmilenio,
Riña  +  Vendedor,Riña , Vendedor,
Robo + Bogot*,Robo,Bogot*,
Robo  +  Apartamento*,Robo , Apartamento*,
Robo  +  Bicicleta*,Robo , Bicicleta*,
Robo  +  Billetera*,Robo , Billetera*,
Robo  +  Buses,Robo , Buses,
Robo  +  Celular*,Robo , Celular*,
Robo  +  Moto,Robo , Moto,
Robo  +  SITP,Robo , SITP,
Robo  +  Taxi,Robo , Taxi,
Robo  +  TM,Robo , TM,
Robo  +  Transmilenio,Robo , Transmilenio,
Robo  +  Transporte publico,Robo , Transporte publico,
Robo  +  Vehiculo*,Robo , Vehiculo*,
Transporte publico + Inseguridad,Transporte publico,Inseguridad,
Transporte publico + delit*,Transporte publico,delit*,
Transporte publico + miedo*,Transporte publico,miedo*,
Vendedores informales + miedo*,Vendedores informales,miedo*,
Vendedores informales + Bogot*,Vendedores informales,Bogot*,
Victima* + Bogot*,Victima*,Bogot*,
Violencia  + Bogot*,Violencia ,Bogot*,
Insegur* + Bogot*,Insegur*,Bogot*,
Arriesga* + Bogot*,Arriesga*,Bogot*,
Insegur* + casa,Insegur*,casa,
expuesto* + Bogot*,expuesto*,Bogot*,
exposi* + Bogot*,exposi*,Bogot*,
Vulnerable + Bogot*,Vulnerable,Bogot*,
Inestable + Seguridad,Inestable,Seguridad,
Seguridad + bogota*,Seguridad,bogota*,
Atraco +  Apartamento*,Atraco, Apartamento*,
Atraco +  Bicicleta*,Atraco, Bicicleta*,
Atraco +  Billetera*,Atraco, Billetera*,
Atraco +  Buses,Atraco, Buses,
Atraco +  Calle*,Atraco, Calle*,
Atraco +  Casas,Atraco, Casas,
Atraco +  Celular*,Atraco, Celular*,
Atraco +  Colegio*,Atraco, Colegio*,
Atraco +  Moto,Atraco, Moto,
Atraco +  Parque*,Atraco, Parque*,
Atraco +  SITP,Atraco, SITP,
Atraco +  Taxi,Atraco, Taxi,
Atraco +  TM,Atraco, TM,
Atraco +  Transmilenio,Atraco, Transmilenio,
Atraco +  Transporte publico,Atraco, Transporte publico,
Atraco +  Universidad*,Atraco, Universidad*,
Delito* +  Apartamento*,Delito*, Apartamento*,
Delito* +  Bicicleta*,Delito*, Bicicleta*,
Delito* +  Billetera*,Delito*, Billetera*,
Delito* +  Buses,Delito*, Buses,
Delito* +  Calle*,Delito*, Calle*,
Delito* +  Casas,Delito*, Casas,
Delito* +  Celular*,Delito*, Celular*,
Delito* +  Colegio*,Delito*, Colegio*,
Delito* +  Moto,Delito*, Moto,
Delito* +  Parque*,Delito*, Parque*,
Delito* +  SITP,Delito*, SITP,
Delito* +  Taxi,Delito*, Taxi,
Delito* +  TM,Delito*, TM,
Delito* +  Transmilenio,Delito*, Transmilenio,
Delito* +  Transporte publico,Delito*, Transporte publico,
Delito* +  Universidad*,Delito*, Universidad*,
Saque* +  Apartamento*,Saque*, Apartamento*,
Saque* +  Bicicleta*,Saque*, Bicicleta*,
Saque* +  Billetera*,Saque*, Billetera*,
Saque* +  Buses,Saque*, Buses,
Saque* +  Calle*,Saque*, Calle*,
Saque* +  Casas,Saque*, Casas,
Saque* +  Celular*,Saque*, Celular*,
Saque* +  Colegio*,Saque*, Colegio*,
Saque* +  Moto,Saque*, Moto,
Saque* +  Parque*,Saque*, Parque*,
Saque* +  SITP,Saque*, SITP,
Saque* +  Taxi,Saque*, Taxi,
Saque* +  TM,Saque*, TM,
Saque* +  Transmilenio,Saque*, Transmilenio,
Saque* +  Transporte publico,Saque*, Transporte publico,
Saque* +  Universidad*,Saque*, Universidad*,
Intimida* +  Apartamento*,Intimida*, Apartamento*,
Intimida* +  Bicicleta*,Intimida*, Bicicleta*,
Intimida* +  Billetera*,Intimida*, Billetera*,
Intimida* +  Buses,Intimida*, Buses,
Intimida* +  Calle*,Intimida*, Calle*,
Intimida* +  Casas,Intimida*, Casas,
Intimida* +  Celular*,Intimida*, Celular*,
Intimida* +  Colegio*,Intimida*, Colegio*,
Intimida* +  Moto,Intimida*, Moto,
