,feature1,feature2,feature3,feature4,feature5
92,"('favor', 0.19526665873032778)","('luminarias', 4.4347300210689195e-05)","('calle', 3.8723782228832226e-05)","('la', 2.7982730973307516e-05)","('de', 2.255913272860228e-05)"
93,"('celular', 0.13452018676072713)","('defensor', -0.09235037364754255)","('social', 0.08366532295303179)","('ser', -0.07504225565168905)","('qua', -0.04602315850178353)"
94,"('dias', -0.053204953583132666)","('ser', -0.05066647666879866)","('ahi', 0.03524087592738915)","('mujer', -0.0323668939814794)","('nos', 0.017039083155550125)"
95,"('pais', 0.21234303512442904)","('ilegal', -0.1776147299699354)","('poblacion', 0.10192013828616828)","('un', -0.0035504729201710048)","('patrocinador', 0.0027813194181714935)"
96,"('son', 0.11960801570628427)","('sexual', -0.1029907505875167)","('alzar', -0.06320313088367444)","('violencia', 0.0032271838713328503)","('los', -0.002598309033101818)"
97,"('parte', -4.294683296003683e-32)","('investigan', 2.7696196942668987e-32)","('por', 2.597560589187582e-32)","('presunto', 1.872253183768619e-32)","('robo', 8.808731539149382e-33)"
98,"('es', 0.0)","('que', 0.0)","('salio', 0.0)","('drogada', 0.0)","('del', 0.0)"
99,"('son', 0.13057486799061527)","('impresion', 0.10668988635952008)","('da', -0.08903581691189748)","('drogas', -0.03316501890247461)","('ver', 0.03037956798779925)"
100,"('condicion', -0.0066316857018555815)","('atentos', -1.3134449370279672e-06)","('no', -1.3115458812449998e-06)","('la', -1.2777077542333796e-06)","('aumenta', -9.515410602437768e-07)"
101,"('sitp', -0.1994289023315023)","('bus', -0.19133819711625238)","('sur', 0.17286061345721898)","('haciendose', 0.005352398959669768)","('luego', 0.004972857945393995)"
102,"('bus', -0.11063036366296777)","('atencion', -0.06113016407824364)","('re', 0.05644033685139004)","('dio', -0.04785175159235675)","('dos', 0.01463725871068724)"
103,"('conductor', -0.06336754029043291)","('beat', 0.0448478486109647)","('en', -0.0005104421702037064)","('y', -0.00042487606825641314)","('un', -0.0004129884947239063)"
104,"('ciudad', 0.18154034694545285)","('los', -0.06771842408791356)","('nos', -0.033833724393823345)","('pero', 0.0020984243665292846)","('pulico', -0.0015917410435107087)"
105,"('hoy', -0.12882315948892278)","('garciam', -0.01092643157258732)","('seguridad', -0.002192117626987398)","('hacer', 0.0014673605072694474)","('lo', -0.0010948335402929138)"
106,"('va', -0.13006944730170458)","('unidad', 0.1165717493721649)","('los', -0.021595995592984786)","('casos', 0.00116288790405902)","('hospitalizan', 0.0011046973101046958)"
107,"('escopolamina', -1.9864322132214152e-32)","('drogo', 1.4374140278050838e-32)","('lo', -1.2737418826167598e-32)","('con', -1.8305658945334482e-33)","('tambien', 1.4351222979857474e-33)"
108,"('estan', -0.04253969590580846)","('los', -0.009435086842347586)","('darte', -0.0005880571767525896)","('cuanta', -0.0005731146418126795)","('de', -0.0004921278726020279)"
109,"('celular', 0.34652493681203134)","('un', 3.808264575348935e-05)","('roba', 3.122914717517917e-05)","('se', 2.8060818007196578e-05)","('quien', 2.474020208636947e-05)"
110,"('caos', 0.2035718097485874)","('distrital', -0.10802674013220048)","('ciudad', 0.09401232376314692)","('pais', 0.08598374235691333)","('los', -0.047422087751335766)"
111,"('taxi', -0.21047450539025178)","('a', -3.78416030971813e-05)","('y', -3.007085497786043e-05)","('estadounidense', -2.7148297281350803e-05)","('llego', -2.414395060500726e-05)"
112,"('hoy', -0.11074995372515861)","('pues', 0.0666975505229719)","('ahi', 0.04432447781009275)","('anos', -0.025408903395992815)","('mas', -0.011208565863191581)"
113,"('algun', -0.06823683213116279)","('peor', -0.06064283219306549)","('dia', 0.05732410398144328)","('va', -0.029694921622086874)","('bicis', -0.02684071347270521)"
114,"('los', -0.12811356832661552)","('favor', 0.08387633672994008)","('ahi', 0.03402753710883107)","('ayuda', 0.0023601720668252435)","('vidrios', -0.0020016131631623154)"
115,"('bus', -0.07902673752947989)","('pm', -0.04772237173905793)","('fin', -0.044096501068543924)","('particular', 0.02938749947313369)","('wev', 0.017711700791046465)"
116,"('paz', 0.10828464277249363)","('admitalon', 0.09063820011634537)","('se', 0.001719157012571427)","('foto', 0.0014609936861212194)","('tomar', -0.00124446963263773)"
117,"('son', 0.2015475741547351)","('los', -0.08166461808909947)","('la', 0.0014954035360086912)","('policia', 0.0007763756248914375)","('ladrones', -0.0005851373395362913)"
118,"('celular', 0.34646191179339303)","('fijo', -0.00010112871955022254)","('el', -9.373815885975305e-05)","('por', -7.725725592008655e-05)","('robarles', -6.789454945627799e-05)"
119,"('caos', 0.21570736320904935)","('ciudad', 0.1031577415900209)","('capital', -0.097220224334954)","('poblacion', 0.06808720976575203)","('contaminacion', -0.06531527941513009)"
120,"('parque', -0.06936897238117054)","('nacional', 0.017079841770660235)","('ninas', -6.896172670849533e-05)","('contra', 3.549704423907769e-05)","('violencia', 2.9787165015487634e-05)"
121,"('algun', -0.14498045040120888)","('son', 0.1026166668959506)","('dia', 0.099310517800453)","('va', -0.09589828136166549)","('cual', 0.06059600397980526)"
122,"('sexual', -0.14227817742012766)","('bo', 0.04365089999393609)","('los', 0.007110833115385242)","('este', -0.0021305486358629837)","('mujeres', 0.0016498805015104632)"
123,"('dolor', -0.09166700419630308)","('violacion', 0.06629839003900818)","('los', -0.023678153394870456)","('simplemente', -0.0011050948193004225)","('las', 0.0010744286684463145)"
124,"('peor', -0.17382978943924354)","('ciudad', 0.12577929139614408)","('pais', 0.11551537080695198)","('amo', 0.10523651786380268)","('los', -0.05206717614968611)"
125,"('bus', -0.2283153353849472)","('smog', 0.09256504284201741)","('da', -0.02745754020171963)","('los', -0.009291557337484314)","('nos', 0.008549560407200731)"
126,"('esmad', 0.21859889449147749)","('parque', -0.1381393920723574)","('son', 0.11951513718533359)","('nacional', 0.002424668690444361)","('datos', 0.0017117827613620528)"
127,"('dos', 0.032023538094469145)","('delincuencia', 6.294589627866897e-06)","('desarticula', 5.428965038841356e-06)","('grupos', 4.996885569874163e-06)","('de', 2.5993297186685884e-06)"
128,"('los', -0.0416698788584641)","('debil', 0.01479960738282036)","('para', -0.00016933645905489755)","('frente', 0.00011107460074874855)","('pone', 0.0001043215617727703)"
129,"('sln', -0.07178238162658092)","('demagogia', -1.8977231814160798e-05)","('pura', -1.7943206766699354e-05)","('el', -1.5360932089873792e-05)","('de', -1.2468365575153e-05)"
