,feature1,feature2,feature3,feature4,feature5
73,"('asi', 0.10125950084812338)","('operaba', 1.3491485153792084e-05)","('la', 1.2894218896953625e-05)","('banda', 1.2254330393602895e-05)","('temible', 9.487949358096867e-06)"
74,"('desarticulan', 0.0)","('banda', 0.0)","('dedicada', 0.0)","('al', 0.0)","('cosquilleo', 0.0)"
75,"('la', 0.0)","('calle', 0.0)","('taponada', 0.0)","('por', 0.0)","('semaforos', 0.0)"
76,"('santi', -0.048958232325591516)","('nos', 0.011751837860339799)","('que', 0.0002696488475926366)","('del', -0.0002577143270191844)","('establecimiento', -0.00023657945488521213)"
77,"('seguir', 0.05895323876753826)","('imbecil', -0.034614214178130466)","('man', -0.021175358453974977)","('pero', 0.00040159242381349703)","('llego', 0.0003643377110594332)"
78,"('usted', -0.08043676585695513)","('ano', -0.03825438325221095)","('los', 0.037489160759342895)","('van', 0.02005003204728725)","('com', 0.017366728642510848)"
79,"('ciudad', -0.06959720429690813)","('mas', 0.012210126345687529)","('real', 0.00884659532994862)","('opcion', 0.0010776428944381776)","('movilidad', 0.00033033973401834987)"
80,"('hoy', 0.053111817508150076)","('edad', 0.028497411242940585)","('ley', 0.013852245728457044)","('ustedes', 0.0011552090072994218)","('menores', -0.00057845362394002)"
81,"('hoy', 0.05265628337068024)","('edad', 0.02830831545793848)","('ley', 0.0142218138319757)","('o', 0.0012095347110189691)","('armados', 0.0008714883369798028)"
82,"('seguramente', 0.0)","('tenian', 0.0)","('en', 0.0)","('mente', 0.0)","('el', 0.0)"
83,"('accion', -0.06311258638710361)","('hoy', 0.04262905921013703)","('los', 0.03969660571343151)","('tres', -0.01665388627592353)","('delincuencial', -0.007390555931091648)"
84,"('dias', 0.03516474162320107)","('todas', 0.0005179238423970187)","('las', 0.0004012515130670089)","('hacen', -0.0003450512107808394)","('severo', 0.0003178355092272999)"
85,"('da', 0.05163495695170724)","('los', -0.03217936495141919)","('asco', 0.01032662527396555)","('mas', 0.008555498801004346)","('quejan', 0.0010626451494420975)"
86,"('conozca', 0.0)","('la', 0.0)","('historia', 0.0)","('de', 0.0)","('pareja', 0.0)"
87,"('los', 0.013801398498106052)","('cayeron', -0.003256375347574213)","('transmilenio', 0.00010047663823608677)","('senalados', 8.898078668261887e-05)","('de', 8.593266541024e-05)"
88,"('medellin', 0.044138887331991276)","('habitante', 8.978432932797e-06)","('que', 8.424537222728437e-06)","('de', 6.814568222768226e-06)","('descaro', 6.505767674606841e-06)"
89,"('administracion', -0.032642504346330835)","('distrital', -0.01144363817966023)","('comision', -0.008209338936302704)","('mes', -0.0005822213126872223)","('agridulce', 0.00036980544520974853)"
90,"('da', 0.06826225717642136)","('dia', -0.05587967961601196)","('hoy', 0.05215670348738019)","('mejor', -0.01805626190427168)","('los', 0.001348290619824394)"
91,"('nacional', -0.04438180906593057)","('universidad', -1.0325847976155386e-05)","('la', -9.445507356531194e-06)","('de', -8.265669433635542e-06)","('estudiantes', -7.457497867446203e-06)"
92,"('favor', -0.09058562603639699)","('la', -1.9665253935658263e-05)","('calle', -1.8162464788541327e-05)","('de', -1.8006282311222993e-05)","('luminarias', -9.939349399389347e-06)"
93,"('celular', -0.06765610614297322)","('lider', -0.025022389524567878)","('badcrim', 0.020113074855164104)","('qua', 0.019969755622843605)","('los', 0.018425411615657465)"
94,"('mujer', -0.019055261481250665)","('dias', 0.01728656355956447)","('temor', 0.015590568495204304)","('ser', 0.009634803613670154)","('los', 0.005558445299949198)"
95,"('poblacion', -0.1292480048532165)","('ilegal', 0.08656744612391569)","('pais', -0.0387319572862312)","('apuestas', -0.0010224913565574634)","('para', 0.0009247993540889484)"
96,"('los', 0.03160675703790645)","('son', -0.028250378406558196)","('sexual', 0.026232091878610773)","('alzar', -0.01937925155179881)","('voces', -0.0008792234986147889)"
97,"('investigan', 6.893984925572533e-32)","('presunto', 6.714311150602155e-32)","('por', 5.598982633256937e-32)","('parte', 2.8989403096730606e-32)","('robo', 1.893234752436611e-32)"
98,"('es', 2.264017490687363e-31)","('salio', 1.7375368951317399e-31)","('del', 1.7360963909830735e-31)","('que', 9.119423613136345e-32)","('drogada', -5.418103096746407e-32)"
99,"('da', 0.06282972261410859)","('son', -0.04475916682116336)","('ver', -0.005056126805363773)","('impresion', -0.004908021072991576)","('drogas', -0.0021173004949590402)"
100,"('condicion', -0.011233021187262)","('aumenta', -2.7780385578072143e-06)","('no', -2.6185113783190726e-06)","('atentos', -2.2669484407495134e-06)","('la', -1.7355622200661341e-06)"
101,"('bus', 0.13238798530437465)","('sitp', 0.10077060076445443)","('sur', -0.08728604457037316)","('mas', 0.003602057377440814)","('victimas', -0.002619934516447546)"
102,"('bus', 0.13052827777059875)","('atencion', -0.07303919696954606)","('dio', 0.022515446360667213)","('re', -0.018370699168500135)","('dos', 0.0037092059368679666)"
103,"('conductor', 0.04917578407888631)","('beat', -0.016597297293681586)","('de', 0.0007300099329409635)","('robado', 0.000558567023711952)","('en', 0.0005408044822785752)"
104,"('ciudad', -0.04697169395662555)","('los', 0.022721435008440812)","('nos', 0.0077519265328462525)","('policia', 0.0005200311594340739)","('tombos', -0.0004009048387023321)"
105,"('hoy', 0.07067420028622294)","('garciam', -0.00685962992316048)","('seguridad', 0.0008426118751272658)","('pueden', -0.0007343785186345102)","('que', -0.0005999471975240199)"
106,"('va', 0.08201436749291353)","('unidad', -0.039820294284404326)","('los', -0.0029504567346115623)","('casos', -0.0010304201584135733)","('de', 0.0007463564150687147)"
107,"('lo', 0.0)","('drogo', 0.0)","('con', 0.0)","('escopolamina', 0.0)","('tambien', 0.0)"
108,"('estan', 0.06658788896654362)","('los', -0.018060005941615637)","('robando', 0.0011057806738994376)","('se', 0.0006217665969274927)","('cuanta', -0.0004468345704789911)"
109,"('celular', -0.19285207900666856)","('se', -2.777063471055778e-05)","('un', -1.8665646655905647e-05)","('roba', -1.4807074956838395e-05)","('quien', -1.0492818284169415e-05)"
110,"('caos', -0.0534736899029324)","('estan', 0.03969808197248814)","('aqui', -0.02680332400039889)","('ciudad', -0.021886057686334594)","('pais', -0.020729342030181723)"
111,"('taxi', 0.08402246004794109)","('llego', 1.235086657975773e-05)","('y', 1.1767061479407205e-05)","('a', 7.101768898716208e-06)","('estadounidense', 6.761161031535993e-06)"
112,"('hoy', 0.03919496303040761)","('anos', 0.024342523339111553)","('shock', -0.007985079138153538)","('mas', 0.0076928840706808445)","('ahi', -0.007625926504436318)"
113,"('va', 0.04695394494528067)","('mal', 0.028174000771323367)","('dia', -0.027863493976477378)","('peor', 0.027317024608574374)","('ano', -0.023987194160051194)"
114,"('los', 0.0428404751233886)","('favor', -0.04163866770710588)","('ahi', 0.007018149289187357)","('por', -0.000834842502600435)","('es', 0.0007860923895476869)"
115,"('bus', 0.07570896430630555)","('pm', 0.026280864124055205)","('particular', -0.019306898876072436)","('eitb', -0.015546122935854055)","('conductor', 0.01553496267706001)"
116,"('paz', -0.0760919468396983)","('admitalon', 0.0015089992917781722)","('otra', -0.001316673460897135)","('les', 0.0009314157046235033)","('y', 0.0007718817606661759)"
117,"('son', -0.05292990901827768)","('los', 0.027513750933340856)","('un', -0.0003602312494478933)","('quienes', -0.00031134038266228956)","('la', -0.0002696461715234648)"
